Concentrations in ppbv,,m/z 47.01204 [C1H3O2],m/z 59.04874 [C3H7O1],m/z 61.02806 [C2H5O2],m/z  127.075 [C7H11O2],m/z 137.1339 [C10H17],m/z  139.113 [C9H15O1],m/z 143.1063 [C8H15O2],m/z 155.1074 [C9H15O2],m/z 157.0866 [C8H13O3],m/z 171.1014 [C9H15O3],m/z 173.0805 [C8H13O4],m/z 187.0977 [C9H15O4],m/z 201.1118 [C10H17O4]
,,m/z 47.0118,m/z 59.04863,m/z 61.02766,m/z 127.0748,m/z 137.132,m/z 139.1119,m/z 143.1056  ,m/z 155.1068,m/z 157.086,m/z 171.1006,m/z 173.0808,m/z 187.0966,m/z 201.1119
time_string,time_number,C1H3O2,C3H7O1,C2H5O2,C7H11O2,C10H17,C9H15O1,C8H15O2,C9H15O2,C8H13O3,C9H15O3,C8H13O4,C9H15O4,C10H17O4
12/7/2023 10:37,45267.4414,0.23862,0.21165,0.1904,0.0059809,0.0038192,0.037295,-0.0012954,0.012974,0.0014793,0.001791,0.00029768,-0.00086352,-0.00023942
12/7/2023 10:37,45267.4414,0.2442,0.2,0.18146,0.0058802,0.0048995,0.033418,0.00015535,0.019279,0.0025839,0.0023249,0.0019484,2.35E-05,0.00028464
12/7/2023 10:37,45267.4414,0.22463,0.23767,0.18683,0.0028454,0.0022007,0.0337,0.0004013,0.015075,0.0020964,0.00068241,-0.00097123,-0.00035228,0.00014452
12/7/2023 10:37,45267.4414,0.19994,0.22036,0.18639,0.0039888,0.0031286,0.03618,0.00053586,0.017072,-0.00032096,5.11E-05,5.14E-05,0.00021346,2.43E-06
12/7/2023 10:37,45267.4414,0.21976,0.20358,0.19368,0.006327,0.0008721,0.032683,0.00034531,0.014586,0.0017646,0.0017085,0.0012437,-0.00019967,-0.00086986
12/7/2023 10:37,45267.4414,0.22467,0.20742,0.17547,0.0040441,0.0031205,0.033598,-0.00074456,0.017557,-0.00042592,0.0025708,-0.00022734,4.57E-05,-0.0005786
12/7/2023 10:37,45267.4414,0.2184,0.2149,0.16643,0.0040309,0.0018965,0.039417,-0.0014935,0.020428,0.0024774,0.0013458,-0.00097828,0.00086339,0.00029395
12/7/2023 10:37,45267.4414,0.2056,0.21783,0.17187,0.0044453,0.0022937,0.035057,0.0010132,0.014029,0.0017492,0.0021516,-0.00027346,7.01E-05,0.00068482
12/7/2023 10:37,45267.4414,0.23275,0.23,0.18523,0.006277,0.00078359,0.032612,0.0015728,0.012405,0.0013281,0.00023492,-0.00023347,0.00018954,0.0015367
12/7/2023 10:37,45267.4414,0.25598,0.19787,0.17876,0.0055503,0.0014287,0.035323,0.00071298,0.016651,0.0019577,0.0019662,0.00075019,0.00071314,-0.00073817
12/7/2023 10:37,45267.4414,0.22958,0.22641,0.16126,0.0062832,0.0012781,0.034416,0.0027152,0.017376,0.0010419,0.0010641,-0.00058353,0.0010751,0.00084829
12/7/2023 10:38,45267.4414,0.22372,0.1951,0.16461,0.006543,0.0009786,0.035414,-0.00044087,0.018633,0.00183,0.0034382,9.57E-05,-0.0003595,-0.00090207
12/7/2023 10:38,45267.4414,0.18312,0.19792,0.16962,0.01031,0.0045739,0.040981,-0.00064442,0.014781,0.0013125,0.002799,0.00076491,0.0011639,-9.88E-05
12/7/2023 10:38,45267.4414,0.22818,0.20789,0.18378,0.004007,0.0039359,0.031877,0.00048553,0.019895,-0.0011075,0.00033156,-0.00029227,-0.00070256,-0.0003641
